playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
16512,Isiah Kiner-Falefa,TEX,59,50,10,0,7,5,1,11.90%,25.40%,0.04,0.286,0.2,0.31,0.24,17.10%,62.90%,20.00%,0.00%,0.00%,31.40%,52.50%,40.20%,68.20%,96.20%,83.30%,0.299
8418,Ehire Adrianza,MIN,42,34,6,1,5,2,0,7.10%,14.30%,0.088,0.179,0.176,0.293,0.265,31.00%,37.90%,31.00%,0.00%,11.10%,33.70%,62.90%,45.50%,87.10%,84.60%,85.70%,0.349
9272,Chris Davis,BAL,75,68,12,3,6,13,0,8.00%,37.30%,0.176,0.243,0.176,0.253,0.353,17.50%,37.50%,45.00%,0.00%,16.70%,28.50%,61.10%,41.40%,41.80%,77.90%,62.90%,0.276
12976,Austin Hedges,SDP,68,63,11,4,5,9,0,4.40%,25.00%,0.206,0.167,0.175,0.235,0.381,19.60%,39.10%,41.30%,15.80%,21.10%,33.10%,66.40%,47.90%,57.10%,81.00%,71.90%,0.252
5491,Austin Romine,NYY,47,45,11,1,5,8,0,2.10%,21.30%,0.089,0.294,0.244,0.261,0.333,11.40%,51.40%,37.10%,23.10%,7.70%,42.90%,78.00%,61.80%,63.30%,92.20%,83.00%,0.31
6885,Ian Desmond,COL,98,92,18,3,9,13,0,5.10%,26.50%,0.174,0.234,0.196,0.235,0.37,22.70%,37.90%,39.40%,11.50%,11.50%,30.50%,74.50%,49.60%,59.40%,80.80%,73.40%,0.31
12434,Kevin Pillar,- - -,111,103,21,5,13,19,3,3.60%,17.10%,0.175,0.195,0.204,0.234,0.379,18.60%,39.50%,41.90%,8.30%,13.90%,43.80%,65.80%,52.90%,73.60%,92.90%,83.60%,0.287
15986,Willy Adames,TBR,98,90,18,1,13,4,1,7.10%,29.60%,0.1,0.283,0.2,0.265,0.3,18.60%,61.00%,20.30%,0.00%,8.30%,29.80%,66.10%,47.90%,57.40%,78.20%,71.70%,0.317
13510,Jose Ramirez,CLE,121,105,19,2,13,9,9,10.70%,14.00%,0.095,0.195,0.181,0.281,0.276,22.70%,33.00%,44.30%,10.30%,5.10%,26.10%,68.00%,42.70%,73.10%,90.30%,84.00%,0.327
11936,Joe Panik,SFG,94,84,17,1,6,7,0,8.50%,11.70%,0.071,0.219,0.202,0.277,0.274,26.40%,43.10%,30.60%,9.10%,4.50%,22.00%,64.50%,41.00%,87.00%,92.70%,91.00%,0.315
17182,Jung Ho Kang,PIT,81,75,12,4,5,8,0,7.40%,34.60%,0.2,0.186,0.16,0.222,0.36,17.00%,46.80%,36.20%,11.80%,23.50%,33.50%,59.50%,44.40%,50.70%,84.10%,69.40%,0.222
14477,Jake Cave,MIN,38,34,7,0,1,3,0,10.50%,23.70%,0.029,0.28,0.206,0.289,0.235,8.00%,76.00%,16.00%,0.00%,0.00%,34.40%,77.80%,50.70%,61.30%,85.70%,75.30%,0.351
14225,Yasiel Puig,CIN,106,99,19,4,8,15,3,4.70%,25.50%,0.162,0.214,0.192,0.226,0.354,21.60%,32.40%,45.90%,11.80%,11.80%,43.00%,80.50%,58.70%,59.80%,84.70%,74.10%,0.327
14145,Daniel Robertson,TBR,88,78,14,1,7,9,1,11.40%,28.40%,0.077,0.25,0.179,0.273,0.256,11.50%,59.60%,28.80%,6.70%,6.70%,21.30%,67.10%,42.00%,53.50%,89.30%,79.40%,0.312
13369,Erik Gonzalez,PIT,59,51,11,0,2,2,3,10.20%,22.00%,0.078,0.289,0.216,0.298,0.294,11.10%,61.10%,27.80%,30.00%,0.00%,37.60%,78.20%,53.80%,59.10%,88.50%,76.20%,0.301
11342,Jesus Aguilar,MIL,92,80,13,3,8,12,0,9.80%,22.80%,0.138,0.175,0.163,0.244,0.3,23.30%,35.00%,41.70%,8.00%,12.00%,32.70%,66.20%,47.10%,55.40%,77.00%,68.50%,0.325
8610,Kendrys Morales,OAK,88,74,12,1,5,4,0,12.50%,14.80%,0.054,0.18,0.162,0.284,0.216,12.90%,48.40%,38.70%,8.30%,4.20%,23.10%,63.70%,40.50%,73.30%,90.30%,84.80%,0.313
2829,Manny Pina,MIL,31,26,4,0,1,1,0,9.70%,25.80%,0.038,0.222,0.154,0.29,0.192,27.80%,27.80%,44.40%,12.50%,0.00%,28.00%,63.00%,41.90%,65.20%,88.20%,78.90%,0.313
13620,Carson Kelly,ARI,53,51,10,0,3,6,0,1.90%,24.50%,0.137,0.263,0.196,0.226,0.333,23.70%,47.40%,28.90%,18.20%,0.00%,32.50%,69.00%,50.40%,55.30%,88.50%,77.60%,0.348
13757,Chris Taylor,LAD,80,70,12,1,4,9,1,10.00%,26.30%,0.086,0.224,0.171,0.263,0.257,16.00%,52.00%,32.00%,6.30%,6.30%,27.70%,75.50%,49.40%,57.10%,72.10%,67.50%,0.333
19238,Lourdes Gurriel Jr.,TOR,44,40,7,0,2,7,1,6.80%,27.30%,0.1,0.25,0.175,0.25,0.275,14.30%,42.90%,42.90%,25.00%,0.00%,41.70%,62.10%,49.10%,60.50%,83.30%,70.90%,0.327
9776,Jason Kipnis,CLE,50,45,9,0,2,3,1,10.00%,16.00%,0.022,0.243,0.2,0.28,0.222,8.30%,47.20%,44.40%,0.00%,0.00%,27.40%,67.90%,45.30%,69.00%,78.90%,75.60%,0.304
16535,Danny Jansen,TOR,75,66,12,0,5,4,0,9.30%,28.00%,0.061,0.261,0.182,0.267,0.242,19.60%,52.20%,28.30%,0.00%,0.00%,27.60%,63.70%,42.90%,61.70%,83.50%,75.40%,0.279
6887,Martin Maldonado,KCR,83,74,13,1,8,2,0,7.20%,18.10%,0.081,0.207,0.176,0.256,0.257,11.90%,52.50%,35.60%,14.30%,4.80%,28.20%,68.40%,46.90%,71.40%,93.30%,86.30%,0.293
8553,Gerardo Parra,SFG,96,85,16,1,8,6,2,8.30%,18.80%,0.071,0.224,0.188,0.271,0.259,23.90%,52.20%,23.90%,18.80%,6.30%,40.40%,75.40%,54.50%,63.80%,83.20%,74.60%,0.293
13593,Jose Peraza,CIN,92,89,18,2,9,7,4,2.20%,20.70%,0.101,0.235,0.202,0.228,0.303,14.30%,32.90%,52.90%,8.10%,5.40%,40.00%,72.70%,55.80%,62.50%,95.40%,83.20%,0.285
13608,Mallex Smith,SEA,110,97,16,1,15,5,8,10.00%,30.00%,0.082,0.234,0.165,0.255,0.247,15.60%,57.80%,26.60%,5.90%,5.90%,22.30%,67.10%,43.60%,54.70%,74.50%,69.20%,0.3
13324,Ildemaro Vargas,ARI,40,40,8,1,6,4,1,0.00%,17.50%,0.15,0.219,0.2,0.2,0.35,21.20%,48.50%,30.30%,0.00%,10.00%,42.50%,57.10%,49.70%,74.20%,90.00%,83.10%,0.299
